dest,dest_airport_name,flights_n,arr_delay_mean,arr_delay_median,distance_mean,air_time_mean
TYS,Mc Ghee Tyson,578,24.069204152249135,2.0,638.3356401384083,97.719723183391
RIC,Richmond Intl,2343,19.610328638497652,1.0,281.2723004694836,53.99573196756295
MSN,Dane Co Rgnl Truax Fld,555,19.576576576576578,1.0,803.918918918919,122.81441441441441
DSM,Des Moines Intl,523,19.005736137667306,0.0,1020.5602294455067,148.67877629063096
CAK,Akron Canton Regional Airport,839,18.30512514898689,2.0,397.0,64.01668653158522
GRR,Gerald R Ford Intl,728,18.189560439560438,1.0,605.7142857142857,97.0
GSP,Greenville-Spartanburg International,790,15.935443037974684,-0.5,595.9848101265823,93.39493670886075
CVG,Cincinnati Northern Kentucky Intl,3722,14.87775389575497,-3.0,575.218162278345,95.96507254164428
MHT,Manchester Regional Airport,932,14.78755364806867,-3.0,207.37768240343348,38.50858369098712
SAV,Savannah Hilton Head Intl,748,14.557486631016042,-1.0,709.2727272727273,106.96390374331551
